First Name,Last Name
Tammy,Harit
Filipe,Becker
Nehuén,Casco
Mykola,Neuer
Jérémy,Insigne
Cengiz,Diop
Moisés,Lanzini
Florian,Gómez
Leandro,Henrique
Yussuf,Fernández
Kaoru,Walker-Peters
Robert,Tadić
Alexander,Gaúcho
Florian,van de Beek
Kévin,Abdul Samed
Leandro,Milla
Orkun,Lodeiro
Maxwel,Weghorst
Guido,Stanišić
João,Martínez
Vladimír,Guilbert
Uroš,Martínez
Anatoliy,Sanabria
Álex,Vlachodimos
Giovani,Sadiq
Fabio,Coronado
Tyler,Aspas
Marcus,Fabra
Tanguy,Lloris
Cristiano,Tonali
Nemanja,Dembélé
Claudio,Staněk
Habib,Boyé
Jordi,Broja
Nicola,Le Normand
André-Franck,Corteijo
Gianluigi,Djiku
Adryan,Welbeck
Srđan,Kobel
Ruben,De Sciglio
Kalidou,Ramsdale
Moise,Palacios
Odilon,Bounou
Kevin,Alexander-Arnold
Hugo,Wan-Bissaka
Felix,Veron
André,Embolo
Victorio,Min Jae
Lucas,Lookman
Francesco,Aliendro
Pedrão,Hamdallah
Iddrisu,Moreno
Maxence,García
Patrick,Müller
Wellington,Traorè
Mitchell,Murphy
Mario,Weiser
Benjamin,Karsdorp
Javier,Baia
Destiny,Álvarez
Florian,Machís
Damián,Milinković-Savić
Justin,Silva
Marius,Onana
Odisseas,Omari
Franck,Jensen
David,Carmo
Jonathan,Mavididi
Cameron,Çakır
Julian,Leite
Jude,Madueke
Miguel,Nübel
Giovanni,Rahimi
Noah,Tavares
Ondřej,Paulista
Raúl,Vlahović
Rodrigo,Pedrosa
André,Burrai
Malo,Díaz
Nathan,Doan
Willian,Areola
Carles,Orban
Iñaki,Hudson-Odoi
Timothy,Nakamura
José,Cuéllar
Renato,Braida
Maximiliano,Valjent
Vitaliy,Smith Rowe
Alex,Taremi
Junya,Ruibal
Etienne,de Galarreta
Jaume,Maxim
Dušan,Farías
Rayan,Abdelhamid
Eric,Reus
Darwin,Sterling
Luís,Pépé
Davide,Rovella
Teun,Danso
Lewis,Kerkez
Harrison,Salah
Azor,Dorley
Aaron,Carvalho
Declan,Laranjo
Fábio,Pereira
Jefferson,Akpom
Kenny,Fajr
Lucas,Miretti
Sandro,Cataldi
Mats,Bondarenko
Kerem,Cervi
Silvan,Schlupp
Alejandro,Bebou
Ferran,Gutiérrez
Tyrell,Livaković
Rani,Davies
John,Poulsen
Christian,Gündoğan
Youssoufa,Bailly
Felipe,Lafont
Gedson,Saliba
Dries,Acuña
Luan,Medina
Enzo,Augustinsson
Clinton,Mendes
Devyne,González
Ronald,Kolašinac
Miguel,Marmoush
Sergio,Hernández
Karim,Steffen
Philip,Mertens
Youssouf,Lopez
Mahmoud,Gallagher
Clément,Nkunku
Dani,Lo Celso
Dušan,El Yamiq
Strahinja,van den Boomen
Nuno,Johnston
Ansu,Ødegaard
André,Thomasson
Granit,Stuani
Giorgi,Saint-Maximin
Matías,Acerbi
Nicolò,Chalobah
Thorgan,Toko Ekambi
Johan,Ghezzal
Leroy,Baschirotto
Isak,Bakasetas
Stanislav,Simeone
Lukáš,Wissa
Arthur,Kramarić
José,Arango
Victor,Singo
Romelu,Kadıoğlu
Alexander,Mbabu
Mario,Doekhi
Manuel,Varela
Luka,Amiri
Matheus,Acunha
Joël,Pavlenka
Diego,Palazón
Rafa,Elvedi
Amine,Rollheiser
Noussair,Ricci
Jonathan,Sabaly
Çağlar,Heynen
Ignacio,Cherki
Ante,Pickford
Adriano,Camavinga
Sergio,van Dijk
Angelo,Suárez
Ramiz,Ramos
Fred,Kanté
Petros,Longstaff
Ellyes,Furuhashi
Valentin,Galán
Nicolás,Kauê
Pablo,Hateboer
Aymeric,Martínez
Ihlas,Sancho
Nacho,Kolo Muani
Piotr,Stones
Manuel,Badé
Pablo,Grillitsch
Rob,Hakimi
Kyogo,Veliz
Roland,Modrić
Pierrino,Immobile
Mohamed,Falcone
Nicolae,Bellingham
Diego,Bernat
Hamed,Guirassy
Igor,Villalba
Maarten,Wijndal
Alan,Manu Koné
Frédéric,Haraslín
Konrad,Villagra
Luiz,Mendy
Hwang,Dawson
Gianluca,Fo-Doh Laba
Borna,Laranjeiros
Zeki,Hummels
William,Paixão
Adama,Račić
Mathias,Kehrer
Maxence,Tsygankov
Iván,Coates
Brian,Sotoca
Khvicha,Keane
Thomas,Pobega
Lorenzo,Boudaoui
Adem,Hernández
Nacho,Kolář
Joško,Džeko
Oscar,Pereira
Zaidu,Jr.
Cucho,Abranjes
Christopher,Fagioli
Jaka,Braithwaite
Josh,Malinovskyi
Julian,Vogt
Marc,Faes
Joseph,Fofana
Ryan,ter Stegen
Alejo,Djimsiti
Nico,Muñoz
Mijat,Arão
Borja,Afif
Noni,Dutra
Agustín,Kyereh
Matt,Hysaj
Michy,Verbruggen
Viktor,Garro
Marcelo,Xhaka
Eljif,Knauff
Cristian,Can
Keito,Sanusi
Luis,Arambarri
Toni,Hložek
Aaron,James
Tijjani,Frutos
Jordi,Schär
Enzo,Hjulmand
Nick,Lallana
Josip,Reed
Viktor,Bülter
Hugo,Herrera
Juan,Ávila
Guilson,Pabón
Milan,Adarabioyo
Ivan,Tello
Donyell,Bennacer
Erling,Nmecha
Sekou,Niakhaté
Antonio,Budimir
Martin,Nicolaisen
Frenkie,Maksimović
Anastasios,Politano
Dejan,Jesus
Raheem,Bayındır
Ademola,De la Vega
Mohammed,Haïdara
Geoffrey,Chiamulera
Igor,Groß
Renato,Beltrán
Gianluca,Fonte
Stephy,Martinelli
Naby,Iglesias
Marco,Mantalos
Sebastián,Camara
Nélson,Nzola
Michail,Trippier
Robin,Fassnacht
Benjamin,Savić
Rubem,Armani
Nuno,Trubin
Jeffrey,Malacia
Arturo,Valverde
Alistair,Teze
Eric,Lerma
Adrien,Frattesi
Nicolò,Faravelli
Takehiro,Vázquez
Willi,Vecino
Gabriel,Oblak
Lucas,Castrovilli
Nailton,Cancelo
Alexandre,Santos Borré
Dani,Billing
Manuel,Ginter
Antonio,García
Matheus,Dumfries
Armando,Rodríguez
Wladimiro,Alderete
Joe,Wind
Facundo,Dupé
Ben,Moffi
Nicolás,El Shaarawy
Terem,Robinson
Sead,Ronaldo
Massadio,José
Robert,Andersen
Iago,Laborde
Heorhii,Sensi
Andrej,Szymański
Laure,Batalla
David,Dewsbury-Hall
Breel,Gomes
Cris,Grujić
Jason,Gibbs-White
Christopher,Tofico
Nico,Damsgaard
Jérôme,Ben Yedder
Chris,Buyalskyi
Andries,Živković
Danilo,D'Ambrosio
Lukas,Mangala
Danilo,Diallo
Jonatão,Mvogo
Allan,Gueye
Benjamin,Gauld
Harry,Sané
Benoît,Tousart
Ritsu,Iwobi
Max,Baba
Marko,Comesaña
Rafael,Carrillo
Franco,Bardakçı
Levi,Skorupski
Jacob,Scamacca
Taras,Álvarez
Curtis,Knoche
Nabil,Di Lorenzo
Abderrazak,Matviienko
Álvaro,Zimmerman
Olivier,Pellegrini
Lautaro,Caicedo
Tommaso,Gatti
Pablo,Moreno
Antonee,Dier
Raphaël,Young
Alberto,Wass
Aleix,Šeško
Ivan,Kamara
Marcus,Praz
Mark,Horta
Filip,Zinchenko
Roberto,Fernández
Thomas,Noppert
Max,Mané
Noa,McKennie
Jairzinho,Costa
Predrag,Dunk
Robin,Weissman
Hidemasa,Grealish
Gerard,Fornals
Romain,Itakura
Andreas,Blake
Pablo,Mudryk
William,Ito
Artem,Trigo
Uğurcan,Retegui
Marash,Redmond
Rodrigo,Stanciu
Andreas,Tapia
Weston,Mei
Duje,Relvas
Deiver,Coman
Alfonso,Tielemans
Ondřej,Kjær
Kosuke,Amrabat
Jean,Gazzaniga
Marcos,Pope
Martin,Kruse
Manu,Solari
İlkay,Brekalo
Santiago,Wilson
Marco,McNeil
Youssef,Ramsey
Sofiane,Henrique
Harvey,Brooks
Vitaly,Gordon
Baptiste,Brignoli
Aaron,Hrošovský
Julian,Loftus-Cheek
Răzvan,Prömel
